Rank,Employer,Total_H1B_Approvals_FY2023
1,AMAZON.COM SERVICES LLC,4576
2,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,3977
3,TATA CONSULTANCY SVCS LTD,3777
4,INFOSYS LIMITED,3449
5,GOOGLE LLC,2460
6,MICROSOFT CORPORATION,2066
7,APPLE INC,1825
8,META PLATFORMS INC,1537
9,JPMORGAN CHASE CO,1524
10,DELOITTE CONSULTING LLP,1487
11,CAPGEMINI AMERICA INC,1427
12,HCL AMERICA INC,1413
13,WAL MART ASSOCIATES INC,1327
14,ERNST YOUNG US LLP,1220
15,INTEL CORPORATION,1112
16,IBM CORPORATION,1086
17,ACCENTURE LLP,998
18,AMAZON WEB SERVICES INC,954
19,ORACLE AMERICA INC,942
20,WIPRO LIMITED,906
21,LTIMINDTREE LIMITED,832
22,CISCO SYSTEMS INC,831
23,COMPUNNEL SOFTWARE GROUP INC,738
24,TECH MAHINDRA AMERICAS INC,716
25,FIDELITY INVESTMENTS,694
26,QUALCOMM TECHNOLOGIES INC,614
27,CITIBANK NA,509
28,SALESFORCE INC,498
29,TESLA INC,497
30,MPHASIS CORPORATION,434
31,AMAZON DEVELOPMENT CENTER US INC,405
32,NVIDIA CORPORATION,394
33,PWC ADVISORY SERVICES LLC,372
34,CGI TECHNOLOGIES AND SOLUTIONS INC,367
35,ATOS SYNTEL INC,360
36,CHARTER COMMUNICATIONS INC,355
37,DELOITTE & TOUCHE LLP,334
38,PAYPAL INC,331
39,ELEVANCE HEALTH INC,320
40,EBAY INC,314
41,BLOOMBERG LP,296
42,US BANK NATIONAL ASSOCIATION,294
43,OPTUM SERVICES INC,287
44,MASTERCARD INTERNATIONAL INCORPORATED,286
45,EVERNORTH ENTERPRISE SERVICES INC,282
46,DFS CORPORATE SERVICES LLC,279
47,L T TECHNOLOGY SERVICES LTD,278
48,COMCAST CABLE COMMUNICATIONS LLC,277
49,UST GLOBAL INC,277
50,BANK OF AMERICA NA,275
51,VMWARE INC,272
52,HEXAWARE TECHNOLOGIES INC,268
53,GENERAL MOTORS COMPANY,267
54,INTUIT INC,264
55,FORD MOTOR COMPANY,262
56,SYNECHRON INC,262
57,VIRTUSA CORPORATION,259
58,MINDTREE LIMITED,255
59,LINKEDIN CORPORATION,254
60,THE LELAND STANFORD JR UNIVERSITY,254
